021229DC andeq    sb, ip, #0x2c400
02124DF8 blt      #0x2124c44
02124DFC mov      r3, #0
02124E00 mov      r5, r3
02124E04 mov      r0, r3
02124E08 ldr      r1, [r4, #0xd8]
02124E0C add      r3, r3, #1
02124E10 add      r2, r1, r5
02124E14 ldr      r1, [r2, #0xd4]
02124E18 add      r5, r5, #0xd8
02124E1C cmp      r1, #1
02124E20 ldreq    r1, [r2, #0x7c]
02124E24 cmpeq    r1, #0
02124E28 streq    r0, [r2, #0xd4]
02124E2C cmp      r3, #5
02124E30 blt      #0x2124e08
02124E34 mov      r3, #0
02124E38 mov      r5, r3
02124E3C mov      r0, r3
02124E40 ldr      r1, [r4, #0xdc]
02124E44 add      r3, r3, #1
02124E48 add      r2, r1, r5
02124E4C ldr      r1, [r2, #0xd4]
02124E50 add      r5, r5, #0xd8
02124E54 cmp      r1, #1
02124E58 ldreq    r1, [r2, #0x7c]
02124E5C cmpeq    r1, #0
02124E60 streq    r0, [r2, #0xd4]
02124E64 cmp      r3, #3
02124E68 blt      #0x2124e40
02124E6C mov      r3, #0
02124E70 mov      r5, r3
02124E74 mov      r0, r3
02124E78 ldr      r1, [r4, #0xe0]
02124E7C add      r2, r1, r5
02124E80 ldr      r1, [r2, #0xd4]
02124E84 add      r5, r5, #0xe4
02124E88 cmp      r1, #1
02124E8C ldreq    r1, [r2, #0x7c]
02124E90 cmpeq    r1, #0
02124E94 streq    r0, [r2, #0xd4]
02124E98 cmpeq    r3, #0
02124E9C add      r3, r3, #1
02124EA0 streq    r0, [r4, #0xf0]
02124EA4 cmp      r3, #0x14
02124EA8 blt      #0x2124e78
02124EAC ldrh     r0, [sb, #0x10]
02124EB0 add      r0, r0, #1
02124EB4 strh     r0, [sb, #0x10]
02124EB8 ldrh     r0, [sb, #0x10]
02124EBC cmp      r0, #0x28
02124EC0 bls      #0x2124ff4
02124EC4 mov      r0, #0
02124EC8 strh     r0, [sb, #0x10]
02124ECC mov      r0, #8
02124ED0 str      r0, [r4, #0xf4]
02124ED4 b        #0x2124ff4
02124ED8 mov      r0, #0
02124EDC mov      r1, r0
02124EE0 mov      r2, r0
02124EE4 mov      r5, r0
02124EE8 ldr      r3, [r4, #0xd8]
02124EEC add      r1, r1, #1
02124EF0 add      r6, r3, r2
02124EF4 ldr      r3, [r6, #0xd4]
02124EF8 cmp      r3, #1
02124EFC ldreq    r3, [r6, #0x7c]
02124F00 cmpeq    r3, #0
02124F04 streq    r5, [r6, #0xd4]
02124F08 ldr      r3, [r4, #0xd8]
02124F0C add      r3, r3, r2
02124F10 ldr      r3, [r3, #0xd4]
02124F14 add      r2, r2, #0xd8
02124F18 cmp      r3, #0
02124F1C addeq    r0, r0, #1
02124F20 cmp      r1, #5
02124F24 blt      #0x2124ee8
02124F28 mov      r1, #0
02124F2C mov      r2, r1
02124F30 mov      r5, r1
02124F34 ldr      r3, [r4, #0xdc]
02124F38 add      r1, r1, #1
02124F3C add      r6, r3, r2
02124F40 ldr      r3, [r6, #0xd4]
02124F44 cmp      r3, #1
02124F48 ldreq    r3, [r6, #0x7c]
02124F4C cmpeq    r3, #0
02124F50 streq    r5, [r6, #0xd4]
02124F54 ldr      r3, [r4, #0xdc]
02124F58 add      r3, r3, r2
02124F5C ldr      r3, [r3, #0xd4]
02124F60 add      r2, r2, #0xd8
02124F64 cmp      r3, #0
02124F68 addeq    r0, r0, #1
02124F6C cmp      r1, #3
02124F70 blt      #0x2124f34
02124F74 mov      r1, #0
02124F78 mov      r2, r1
02124F7C mov      r5, r1
02124F80 ldr      r3, [r4, #0xe0]
02124F84 add      r1, r1, #1
02124F88 add      r6, r3, r2
02124F8C ldr      r3, [r6, #0xd4]
02124F90 cmp      r3, #1
02124F94 ldreq    r3, [r6, #0x7c]
02124F98 cmpeq    r3, #0
02124F9C streq    r5, [r6, #0xd4]
02124FA0 ldr      r3, [r4, #0xe0]
02124FA4 add      r3, r3, r2
02124FA8 ldr      r3, [r3, #0xd4]
02124FAC add      r2, r2, #0xe4
02124FB0 cmp      r3, #0
02124FB4 addeq    r0, r0, #1
02124FB8 cmp      r1, #0x14
02124FBC blt      #0x2124f80
02124FC0 cmp      r0, #0x1c
02124FC4 blt      #0x2124ff4
02124FC8 mov      r1, #1
02124FCC str      r1, [r4, #0xf4]
02124FD0 mov      r0, #0
02124FD4 str      r0, [r4, #0xe4]
02124FD8 str      r0, [r4, #0xe8]
02124FDC str      r0, [r4, #0xec]
02124FE0 str      r1, [r4, #0xf0]
02124FE4 ldr      r0, [sb, #0x34]
02124FE8 cmp      r0, #0
02124FEC subgt    r0, r0, #1
02124FF0 strgt    r0, [sb, #0x34]
02124FF4 ldr      r0, [sp, #4]
02124FF8 add      sl, sl, #0xf8
02124FFC add      r0, r0, #1
02125000 str      r0, [sp, #4]
02125004 cmp      r0, #0xa
02125008 blt      #0x2124a38
0212500C add      sp, sp, #0x14
02125010 pop      {r4, r5, r6, r7, r8, sb, sl, fp, pc}
02125014 andeq    fp, pc, #20, #20
02125018 andeq    r0, r0, fp, lsl #8
0212501C strbtvs  r6, [r6], -r7, ror #12
02125020 ldrbpl   r5, [r5, #-0x556]
02125024 muleq    r0, r8, sb
02125028 adcge    sl, r0, r1, lsr #1
0212502C .byte    0xdc, 0xff, 0x23, 0x00
02125030 .byte    0xb7, 0x60, 0x0b, 0xb6
02125034 andeq    sb, sb, #108, #26
02125038 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
0212503C mov      r5, r0
02125040 ldr      r0, [r5, #0x44]
02125044 mov      r4, r2
02125048 ldrh     r0, [r0]
0212504C cmp      r0, #0
02125050 popeq    {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02125054 ldr      r0, [r5, #0x34]
02125058 cmp      r0, #0xa
0212505C popge    {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02125060 ldr      r3, [r5, #0x30]
02125064 mov      r2, #0
02125068 ldr      r0, [r3, #0xf4]
0212506C mov      r7, r3
02125070 cmp      r0, #1
02125074 beq      #0x2125088
02125078 add      r2, r2, #1
0212507C cmp      r2, #0xa
02125080 add      r3, r3, #0xf8
02125084 blt      #0x2125068
02125088 cmp      r2, #0xa
0212508C popeq    {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02125090 ldr      r2, [r5, #0x34]
02125094 mov      r0, #2
02125098 add      r2, r2, #1
0212509C str      r2, [r5, #0x34]
021250A0 str      r0, [r7, #0xf4]
021250A4 mov      r0, #0
021250A8 strh     r0, [r5, #0x10]
021250AC cmp      r1, #0
021250B0 lsl      r0, r1, #0xc
021250B4 ble      #0x21250cc
021250B8 bl       #0x202ae3c
021250BC mov      r1, r0
021250C0 mov      r0, #0x3f000000
021250C4 bl       #0x202a1f0
021250C8 b        #0x21250d8
021250CC bl       #0x202ae3c
021250D0 mov      r1, #0x3f000000
021250D4 bl       #0x202b0b8
021250D8 bl       #0x202adc8
021250DC str      r0, [r7, #0x28]
021250E0 cmp      r4, #0
021250E4 lsl      r0, r4, #0xc
021250E8 ble      #0x2125100
021250EC bl       #0x202ae3c
021250F0 mov      r1, r0
021250F4 mov      r0, #0x3f000000
021250F8 bl       #0x202a1f0
021250FC b        #0x212510c
02125100 bl       #0x202ae3c
02125104 mov      r1, #0x3f000000
02125108 bl       #0x202b0b8
0212510C bl       #0x202adc8
02125110 str      r0, [r7, #0x2c]
02125114 mov      r1, #0
02125118 add      r0, r7, #4
0212511C str      r1, [r7, #0x30]
02125120 bl       #0x2047904
02125124 mov      r6, #0
02125128 mov      r8, r6
0212512C mov      r4, #2
02125130 ldr      r0, [r7, #0xe0]
02125134 mov      r1, r4
02125138 add      r0, r0, r8
0212513C bl       #0x2047904
02125140 add      r6, r6, #1
02125144 cmp      r6, #0x14
02125148 add      r8, r8, #0xe4
0212514C blt      #0x2125130
02125150 mov      r8, #0
02125154 mov      r4, r8
02125158 mov      r6, r8
0212515C mov      fp, #3
02125160 ldr      r0, [r7, #0xd8]
02125164 mov      r1, fp
02125168 add      r0, r0, r4
0212516C bl       #0x2047904
02125170 cmp      r8, #0
02125174 bne      #0x212519c
02125178 ldr      r1, [r7, #0xd8]
0212517C ldr      r0, [r7, #0x28]
02125180 add      r1, r1, r4
02125184 str      r0, [r1, #0x24]
02125188 ldr      r0, [r7, #0x2c]
0212518C str      r0, [r1, #0x28]
02125190 ldr      r0, [r7, #0x30]
02125194 str      r0, [r1, #0x2c]
02125198 b        #0x2125280
0212519C mov      r0, #0xb2
021251A0 bl       #0x20431d4
021251A4 lsr      r1, r0, #0x1f
021251A8 rsb      r0, r1, r0, lsl #28
021251AC add      r0, r1, r0, ror #28
021251B0 add      sb, r0, #0x10
021251B4 mov      r0, #0xb3
021251B8 bl       #0x20431d4
021251BC lsr      r1, r0, #0x1f
021251C0 rsb      r0, r1, r0, lsl #28
021251C4 add      r0, r1, r0, ror #28
021251C8 add      sl, r0, #0x10
021251CC mov      r0, #0
021251D0 bl       #0x20431d4
021251D4 lsr      r1, r0, #0x1f
021251D8 rsb      r0, r1, r0, lsl #31
021251DC adds     r0, r1, r0, ror #31
021251E0 mov      r0, #0
021251E4 rsbeq    sb, sb, #0
021251E8 bl       #0x20431d4
021251EC lsr      r1, r0, #0x1f
021251F0 rsb      r0, r1, r0, lsl #31
021251F4 adds     r0, r1, r0, ror #31
021251F8 rsbeq    sl, sl, #0
021251FC cmp      sl, #0
02125200 lsl      r0, sl, #0xc
02125204 ble      #0x212521c
02125208 bl       #0x202ae3c
0212520C mov      r1, r0
02125210 mov      r0, #0x3f000000
02125214 bl       #0x202a1f0
02125218 b        #0x2125228
0212521C bl       #0x202ae3c
02125220 mov      r1, #0x3f000000
02125224 bl       #0x202b0b8
02125228 bl       #0x202adc8
0212522C ldr      r1, [r7, #0x2c]
02125230 cmp      sb, #0
02125234 add      sl, r1, r0
02125238 lsl      r0, sb, #0xc
0212523C ble      #0x2125254
02125240 bl       #0x202ae3c
02125244 mov      r1, r0
02125248 mov      r0, #0x3f000000
0212524C bl       #0x202a1f0
02125250 b        #0x2125260
02125254 bl       #0x202ae3c
02125258 mov      r1, #0x3f000000
0212525C bl       #0x202b0b8
02125260 bl       #0x202adc8
02125264 ldr      r2, [r7, #0x28]
02125268 ldr      r1, [r7, #0xd8]
0212526C add      r2, r2, r0
02125270 add      r0, r1, r4
02125274 str      r2, [r0, #0x24]
02125278 str      sl, [r0, #0x28]
0212527C str      r6, [r0, #0x2c]
02125280 add      r4, r4, #0xd8
02125284 add      r8, r8, #1
02125288 cmp      r8, #5
0212528C blt      #0x2125160
02125290 mov      r8, #0
02125294 mov      r4, r8
02125298 mov      r6, r8
0212529C mov      fp, #4
021252A0 ldr      r0, [r7, #0xdc]
021252A4 mov      r1, fp
021252A8 add      r0, r0, r4
021252AC bl       #0x2047904
021252B0 mov      r0, #0xb2
021252B4 bl       #0x20431d4
021252B8 lsr      r1, r0, #0x1f
021252BC rsb      r0, r1, r0, lsl #28
021252C0 add      r0, r1, r0, ror #28
021252C4 add      sb, r0, #0x10
021252C8 mov      r0, #0xb3
021252CC bl       #0x20431d4
021252D0 lsr      r1, r0, #0x1f
021252D4 rsb      r0, r1, r0, lsl #28
021252D8 add      r0, r1, r0, ror #28
021252DC add      sl, r0, #0x10
021252E0 mov      r0, #0
021252E4 bl       #0x20431d4
021252E8 lsr      r1, r0, #0x1f
021252EC rsb      r0, r1, r0, lsl #31
021252F0 adds     r0, r1, r0, ror #31
021252F4 mov      r0, #0
021252F8 rsbeq    sb, sb, #0
021252FC bl       #0x20431d4
02125300 lsr      r1, r0, #0x1f
02125304 rsb      r0, r1, r0, lsl #31
02125308 adds     r0, r1, r0, ror #31
0212530C rsbeq    sl, sl, #0
02125310 cmp      sl, #0
02125314 lsl      r0, sl, #0xc
02125318 ble      #0x2125330
0212531C bl       #0x202ae3c
02125320 mov      r1, r0
02125324 mov      r0, #0x3f000000
02125328 bl       #0x202a1f0
0212532C b        #0x212533c
02125330 bl       #0x202ae3c
02125334 mov      r1, #0x3f000000
02125338 bl       #0x202b0b8
0212533C bl       #0x202adc8
02125340 ldr      r1, [r7, #0x2c]
02125344 cmp      sb, #0
02125348 add      sl, r1, r0
0212534C lsl      r0, sb, #0xc
02125350 ble      #0x2125368
02125354 bl       #0x202ae3c
02125358 mov      r1, r0
0212535C mov      r0, #0x3f000000
02125360 bl       #0x202a1f0
02125364 b        #0x2125374
02125368 bl       #0x202ae3c
0212536C mov      r1, #0x3f000000
02125370 bl       #0x202b0b8
02125374 bl       #0x202adc8
02125378 ldr      r2, [r7, #0x28]
0212537C ldr      r1, [r7, #0xdc]
02125380 add      r2, r2, r0
02125384 add      r0, r1, r4
02125388 str      r2, [r0, #0x24]
0212538C str      sl, [r0, #0x28]
02125390 str      r6, [r0, #0x2c]
02125394 add      r4, r4, #0xd8
02125398 add      r8, r8, #1
0212539C cmp      r8, #3
021253A0 blt      #0x21252a0
021253A4 ldr      r1, [r5, #0x44]
021253A8 ldrh     r0, [r1]
021253AC sub      r0, r0, #1
021253B0 strh     r0, [r1]
021253B4 ldr      r0, [r5, #0x44]
021253B8 ldrh     r0, [r0]
021253BC cmp      r0, #0
021253C0 popne    {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
021253C4 ldr      r0, [pc, #0x38] ; literal=0x0212BB0C
021253C8 mov      r1, r6
021253CC bl       #0x2060e68
021253D0 ldr      r0, [pc, #0x30] ; literal=0x0212AC1C
021253D4 mov      r1, #0x79
021253D8 ldr      r0, [r0]
021253DC mov      r2, #0x80
021253E0 bl       #0x204409c
021253E4 mov      r4, #0x30
021253E8 ldr      r0, [pc, #0x14] ; literal=0x0212BB0C
021253EC mov      r1, #5
021253F0 mov      r2, #7
021253F4 mov      r3, #0
021253F8 str      r4, [sp]
021253FC bl       #0x2060cd4
02125400 pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02125404 andseq   fp, r2, #12, #22
02125408 andseq   sl, r2, #28, #24
0212540C push     {r4, r5, r6, lr}
02125410 ldr      r3, [r0, #0x34]
02125414 cmp      r3, #0
02125418 movle    r0, #0
0212541C pople    {r4, r5, r6, pc}
02125420 ldr      r3, [r0, #0x30]
02125424 mov      r6, #0
02125428 ldr      r4, [r3, #0xf4]
0212542C cmp      r4, #3
02125430 bne      #0x2125484
02125434 ldr      r5, [r3, #0x28]
02125438 ldr      lr, [r0, #0x38]
0212543C ldr      r4, [r3, #0x2c]
02125440 rsb      ip, lr, r5, asr #12
02125444 cmp      r1, ip
02125448 ble      #0x2125484
0212544C add      ip, lr, r5, asr #12
02125450 cmp      r1, ip
02125454 bge      #0x2125484
02125458 ldr      lr, [r0, #0x3c]
0212545C rsb      ip, lr, r4, asr #12
02125460 cmp      r2, ip
02125464 ble      #0x2125484
02125468 add      ip, lr, r4, asr #12
0212546C cmp      r2, ip
02125470 bge      #0x2125484
02125474 mov      r0, #4
02125478 str      r0, [r3, #0xf4]
0212547C mov      r0, #1
02125480 pop      {r4, r5, r6, pc}
02125484 add      r6, r6, #1
02125488 cmp      r6, #0xa
0212548C add      r3, r3, #0xf8
02125490 blt      #0x2125428
02125494 mov      r0, #0
02125498 pop      {r4, r5, r6, pc}
0212549C push     {r4, r5, r6, lr}
021254A0 mov      r1, #0x1a
021254A4 mov      r6, r0
021254A8 bl       #0x2044100
021254AC cmp      r0, #0
021254B0 beq      #0x2125528
021254B4 ldr      r3, [pc, #0x74] ; literal=0x0210A730
021254B8 ldr      r1, [pc, #0x74] ; literal=0x0212ACB8
021254BC ldr      r2, [pc, #0x74] ; literal=0x0212AC48
021254C0 ldr      r0, [pc, #0x74] ; literal=0x020FBA14
021254C4 ldrh     r4, [r3]
021254C8 ldr      r1, [r1]
021254CC ldr      r5, [r0]
021254D0 add      r4, r1, r4
021254D4 asr      r0, r4, #2
021254D8 add      r1, r4, r0, lsr #29
021254DC ldrh     r3, [r3, #2]
021254E0 ldr      r2, [r2]
021254E4 ldr      r0, [r5, #4]
021254E8 add      r5, r2, r3
021254EC asr      r2, r5, #2
021254F0 add      r2, r5, r2, lsr #29
021254F4 asr      r1, r1, #3
021254F8 asr      r2, r2, #3
021254FC bl       #0x207c930
02125500 cmp      r0, #0
02125504 bne      #0x2125528
02125508 ldr      r0, [r6, #0x44]
0212550C ldrh     r0, [r0]
02125510 cmp      r0, #0
02125514 beq      #0x2125528
02125518 mov      r0, r6
0212551C mov      r1, r4
02125520 mov      r2, r5
02125524 bl       #0x2125038
02125528 mvn      r0, #0
0212552C pop      {r4, r5, r6, pc}
02125530 andseq   sl, r0, #48, #14
02125534 andseq   sl, r2, #184, #24
02125538 andseq   sl, r2, #72, #24
0212553C andeq    fp, pc, #20, #20
02125540 mov      r0, #0
02125544 bx       lr
02125548 mov      r0, #0
0212554C bx       lr
02125550 mov      r0, #0
02125554 bx       lr
02125558 ldr      r2, [pc, #0xc] ; literal=0x0212A918
0212555C mov      r1, #0
02125560 str      r2, [r0]
02125564 str      r1, [r0, #0x30]
02125568 bx       lr
0212556C andseq   sl, r2, #24, #18
02125570 push     {r4, lr}
02125574 ldr      r1, [pc, #0x3c] ; literal=0x0212A918
02125578 mov      r4, r0
0212557C str      r1, [r4]
02125580 ldr      r1, [r0]
02125584 ldr      r1, [r1, #8]
02125588 blx      r1
0212558C ldr      r0, [r4, #0x30]
02125590 cmp      r0, #0
02125594 beq      #0x21255b0
02125598 ldr      r3, [pc, #0x1c] ; literal=0x02047550
0212559C mov      r1, #0xd4
021255A0 mov      r2, #8
021255A4 bl       #0x202d70c
021255A8 mov      r0, #0
021255AC str      r0, [r4, #0x30]
021255B0 mov      r0, r4
021255B4 pop      {r4, pc}
021255B8 andseq   sl, r2, #24, #18
021255BC andeq    r7, r4, #80, #10
021255C0 push     {r4, lr}
021255C4 ldr      r1, [pc, #0x44] ; literal=0x0212A918
021255C8 mov      r4, r0
021255CC str      r1, [r4]
021255D0 ldr      r1, [r0]
021255D4 ldr      r1, [r1, #8]
021255D8 blx      r1
021255DC ldr      r0, [r4, #0x30]
021255E0 cmp      r0, #0
021255E4 beq      #0x2125600
021255E8 ldr      r3, [pc, #0x24] ; literal=0x02047550
021255EC mov      r1, #0xd4
021255F0 mov      r2, #8
021255F4 bl       #0x202d70c
021255F8 mov      r0, #0
021255FC str      r0, [r4, #0x30]
02125600 mov      r0, r4
02125604 bl       #0x20505f8
02125608 mov      r0, r4
0212560C pop      {r4, pc}
02125610 andseq   sl, r2, #24, #18
02125614 andeq    r7, r4, #80, #10
02125618 push     {r3, r4, r5, r6, r7, lr}
0212561C mov      r4, r0
02125620 str      r1, [r4, #0x40]
02125624 mov      r0, #0
02125628 str      r0, [r4, #0x3c]
0212562C ldr      r0, [r4, #0x40]
02125630 cmp      r0, #0
02125634 beq      #0x2125648
02125638 cmp      r0, #1
0212563C moveq    r0, #4
02125640 streq    r0, [r4, #0x3c]
02125644 b        #0x2125650
02125648 mov      r0, #2
0212564C str      r0, [r4, #0x3c]
02125650 ldr      r0, [pc, #0x94] ; literal=0x02047550
02125654 ldr      r3, [pc, #0x94] ; literal=0x020474F4
02125658 str      r0, [sp]
0212565C ldr      r0, [r4, #0x3c]
02125660 mov      r1, #0xd4
02125664 mov      r2, #8
02125668 bl       #0x202d4b8
0212566C str      r0, [r4, #0x30]
02125670 ldr      r0, [r4, #0x3c]
02125674 mov      r6, #0
02125678 cmp      r0, #0
0212567C ble      #0x21256b0
02125680 mov      r7, r6
02125684 mov      r5, #9
02125688 ldr      r1, [r4, #0x30]
0212568C mov      r0, r5
02125690 mov      r2, r6
02125694 add      r1, r1, r7
02125698 bl       #0x211ba44
0212569C ldr      r0, [r4, #0x3c]
021256A0 add      r6, r6, #1
021256A4 cmp      r6, r0
021256A8 add      r7, r7, #0xd4
021256AC blt      #0x2125688
021256B0 ldr      r0, [r4, #0x30]
021256B4 bl       #0x2047dcc
021256B8 lsr      r0, r0, #1
021256BC str      r0, [r4, #0x44]
021256C0 ldr      r0, [r4, #0x30]
021256C4 bl       #0x2047d98
021256C8 lsr      r3, r0, #1
021256CC ldr      r1, [pc, #0x20] ; literal=0x0212A928
021256D0 mov      r0, r4
021256D4 mov      r2, #0x60
021256D8 str      r3, [r4, #0x48]
021256DC bl       #0x2043e0c
021256E0 mov      r0, r4
021256E4 bl       #0x2125aa8
021256E8 pop      {r3, r4, r5, r6, r7, pc}
021256EC andeq    r7, r4, #80, #10
021256F0 andeq    r7, r4, #244, #8
021256F4 andseq   sl, r2, #40, #18
021256F8 bx       lr
021256FC push     {r3, r4, r5, r6, r7, r8, sb, lr}
02125700 mov      r7, r0
02125704 bl       #0x2044114
02125708 ldr      r0, [r7, #0x34]
0212570C cmp      r0, #0
02125710 popeq    {r3, r4, r5, r6, r7, r8, sb, pc}
02125714 ldr      r2, [r7, #0x30]
02125718 ldr      r0, [pc, #0xc8] ; literal=0x0212AC48
0212571C ldr      r1, [r2, #0x28]
02125720 ldr      r0, [r0]
02125724 rsbs     r0, r0, r1, asr #12
02125728 bmi      #0x212573c
0212572C cmp      r0, #0x100
02125730 lsllt    r0, r0, #0xc
02125734 sublt    r0, r0, #0x3d0000
02125738 strlt    r0, [r2, #0x34]
0212573C ldr      r0, [r7, #0x30]
02125740 mov      r1, #0x1000
02125744 bl       #0x2047a08
02125748 mov      r1, #0
0212574C ldr      r0, [r7, #0x30]
02125750 mov      r2, r1
02125754 bl       #0x211dc1c
02125758 ldr      r0, [r7, #0x38]
0212575C cmp      r0, #0
02125760 popeq    {r3, r4, r5, r6, r7, r8, sb, pc}
02125764 ldr      r0, [r7, #0x3c]
02125768 mov      r5, #1
0212576C cmp      r0, #1
02125770 pople    {r3, r4, r5, r6, r7, r8, sb, pc}
02125774 ldr      r8, [pc, #0x6c] ; literal=0x0212AC48
02125778 mov      r6, #0xd4
0212577C mov      r4, #0x1000
02125780 mov      sb, #0
02125784 ldr      r1, [r7, #0x30]
02125788 ldr      r0, [r8]
0212578C add      r2, r1, r6
02125790 ldr      r1, [r2, #0x28]
02125794 rsbs     r0, r0, r1, asr #12
02125798 bmi      #0x21257ac
0212579C cmp      r0, #0x100
021257A0 lsllt    r0, r0, #0xc
021257A4 sublt    r0, r0, #0x300000
021257A8 strlt    r0, [r2, #0x34]
021257AC ldr      r0, [r7, #0x30]
021257B0 mov      r1, r4
021257B4 add      r0, r0, r6
021257B8 bl       #0x2047a08
021257BC ldr      r0, [r7, #0x30]
021257C0 mov      r1, sb
021257C4 mov      r2, sb
021257C8 add      r0, r0, r6
021257CC bl       #0x211dc1c
021257D0 ldr      r0, [r7, #0x3c]
021257D4 add      r5, r5, #1
021257D8 cmp      r5, r0
021257DC add      r6, r6, #0xd4
021257E0 blt      #0x2125784
021257E4 pop      {r3, r4, r5, r6, r7, r8, sb, pc}
021257E8 andseq   sl, r2, #72, #24
021257EC push     {r3, r4, r5, lr}
021257F0 ldr      r4, [r0, #0x34]
021257F4 cmp      r4, #0
021257F8 beq      #0x2125864
021257FC ldr      r5, [r0, #0x30]
02125800 ldr      r4, [r0, #0x44]
02125804 ldr      lr, [r5, #0x24]
02125808 ldr      r5, [r5, #0x28]
0212580C rsb      ip, r4, lr, asr #12
02125810 cmp      r1, ip
02125814 bls      #0x2125864
02125818 add      ip, r4, lr, asr #12
0212581C cmp      r1, ip
02125820 bhs      #0x2125864
02125824 ldr      ip, [r0, #0x48]
02125828 rsb      r1, ip, r5, asr #12
0212582C cmp      r2, r1
02125830 bls      #0x2125864
02125834 add      r1, ip, r5, asr #12
02125838 cmp      r2, r1
0212583C bhs      #0x2125864
02125840 ldr      r1, [r0, #0x38]
02125844 cmp      r1, #0
02125848 ldrne    r0, [r0, #0x4c]
0212584C popne    {r3, r4, r5, pc}
02125850 mov      r1, #2
02125854 str      r3, [r0, #0x4c]
02125858 bl       #0x2043ef4
0212585C mvn      r0, #1
02125860 pop      {r3, r4, r5, pc}
02125864 mvn      r0, #0
02125868 pop      {r3, r4, r5, pc}
0212586C ldr      ip, [pc, #4] ; literal=0x02043EF4
02125870 mov      r1, #0
02125874 bx       ip
02125878 andeq    r3, r4, #244, #28
0212587C push     {r3, r4, r5, r6, r7, lr}
02125880 mov      r1, #0x1a
02125884 mov      r7, r0
02125888 bl       #0x2044100
0212588C cmp      r0, #0
02125890 beq      #0x2125a88
02125894 ldr      r0, [pc, #0x1f4] ; literal=0x020FBA08
02125898 ldr      r2, [pc, #0x1f4] ; literal=0x0210A730
0212589C ldr      r0, [r0]
021258A0 ldr      r3, [pc, #0x1f0] ; literal=0x0212ACB8
021258A4 ldr      r6, [r0, #4]
021258A8 ldr      r0, [r7, #0x40]
021258AC ldr      r1, [pc, #0x1e8] ; literal=0x0212AC48
021258B0 add      r0, r6, r0, lsl #1
021258B4 add      r0, r0, #0xa00
021258B8 ldrh     r0, [r0, #0x80]
021258BC ldrh     r4, [r2]
021258C0 ldr      r3, [r3]
021258C4 ldrh     r2, [r2, #2]
021258C8 ldr      r1, [r1]
021258CC cmp      r0, #0
021258D0 add      r4, r3, r4
021258D4 add      r5, r1, r2
021258D8 beq      #0x2125a88
021258DC ldr      r1, [pc, #0x1bc] ; literal=0x020FBA14
021258E0 asr      r0, r4, #2
021258E4 ldr      r3, [r1]
021258E8 asr      r2, r5, #2
021258EC add      r1, r4, r0, lsr #29
021258F0 add      r2, r5, r2, lsr #29
021258F4 ldr      r0, [r3, #4]
021258F8 asr      r1, r1, #3
021258FC asr      r2, r2, #3
02125900 bl       #0x207c930
02125904 cmp      r0, #0
02125908 bne      #0x2125a88
0212590C ldr      r0, [r7, #0x40]
02125910 add      r2, r6, #0xa80
02125914 lsl      r1, r0, #1
02125918 ldrh     r0, [r2, r1]
0212591C sub      r0, r0, #1
02125920 strh     r0, [r2, r1]
02125924 ldr      r0, [r7, #0x40]
02125928 add      r0, r6, r0, lsl #1
0212592C add      r0, r0, #0xa00
02125930 ldrh     r0, [r0, #0x80]
02125934 cmp      r0, #0
02125938 bne      #0x2125974
0212593C ldr      r0, [pc, #0x160] ; literal=0x0212BB0C
02125940 mov      r1, #0
02125944 bl       #0x2060e68
02125948 mov      r0, r7
0212594C mov      r1, #0x79
02125950 mov      r2, #0x80
02125954 bl       #0x204409c
02125958 mov      r2, #0x32
0212595C ldr      r0, [pc, #0x140] ; literal=0x0212BB0C
02125960 mov      r1, #5
02125964 str      r2, [sp]
02125968 mov      r2, #7
0212596C mov      r3, #0
02125970 bl       #0x2060cd4
02125974 ldr      r2, [r7, #0x30]
02125978 lsl      r0, r4, #0xc
0212597C str      r0, [r2, #0x24]
02125980 lsl      r0, r5, #0xc
02125984 mov      r1, #0
02125988 str      r0, [r2, #0x28]
0212598C str      r1, [r2, #0x2c]
02125990 ldr      r0, [r7, #0x30]
02125994 sub      r1, r1, #0x3d0000
02125998 str      r1, [r0, #0x34]
0212599C ldr      r0, [r7, #0x3c]
021259A0 mov      r3, #1
021259A4 cmp      r0, #1
021259A8 ble      #0x21259e4
021259AC mov      r4, #0xd4
021259B0 ldr      r2, [r7, #0x30]
021259B4 add      r3, r3, #1
021259B8 ldr      r0, [r2, #0x24]
021259BC add      r1, r2, r4
021259C0 str      r0, [r1, #0x24]
021259C4 ldr      r0, [r2, #0x28]
021259C8 add      r4, r4, #0xd4
021259CC str      r0, [r1, #0x28]
021259D0 ldr      r0, [r2, #0x2c]
021259D4 str      r0, [r1, #0x2c]
021259D8 ldr      r0, [r7, #0x3c]
021259DC cmp      r3, r0
021259E0 blt      #0x21259b0
021259E4 ldr      r0, [r7, #0x40]
021259E8 cmp      r0, #0
021259EC beq      #0x21259fc
021259F0 cmp      r0, #1
021259F4 beq      #0x2125a20
021259F8 b        #0x2125a80
021259FC ldr      r1, [r7, #0x30]
